pattern,colorCount
YlGn,3
YlGn,4
YlGn,5
YlGn,6
YlGn,7
YlGn,8
YlGn,9
YlGnBu,3
YlGnBu,4
YlGnBu,5
YlGnBu,6
YlGnBu,7
YlGnBu,8
YlGnBu,9
GnBu,3
GnBu,4
GnBu,5
GnBu,6
GnBu,7
GnBu,8
GnBu,9
BuGn,3
BuGn,4
BuGn,5
BuGn,6
BuGn,7
BuGn,8
BuGn,9
PuBuGn,3
PuBuGn,4
PuBuGn,5
PuBuGn,6
PuBuGn,7
PuBuGn,8
PuBuGn,9
PuBu,3
PuBu,4
PuBu,5
PuBu,6
PuBu,7
PuBu,8
PuBu,9
BuPu,3
BuPu,4
BuPu,5
BuPu,6
BuPu,7
BuPu,8
BuPu,9
RdPu,3
RdPu,4
RdPu,5
RdPu,6
RdPu,7
RdPu,8
RdPu,9
PuRd,3
PuRd,4
PuRd,5
PuRd,6
PuRd,7
PuRd,8
PuRd,9
OrRd,3
OrRd,4
OrRd,5
OrRd,6
OrRd,7
OrRd,8
OrRd,9
YlOrRd,3
YlOrRd,4
YlOrRd,5
YlOrRd,6
YlOrRd,7
YlOrRd,8
YlOrRd,9
YlOrBr,3
YlOrBr,4
YlOrBr,5
YlOrBr,6
YlOrBr,7
YlOrBr,8
YlOrBr,9
Purples,3
Purples,4
Purples,5
Purples,6
Purples,7
Purples,8
Purples,9
Blues,3
Blues,4
Blues,5
Blues,6
Blues,7
Blues,8
Blues,9
Greens,3
Greens,4
Greens,5
Greens,6
Greens,7
Greens,8
Greens,9
Oranges,3
Oranges,4
Oranges,5
Oranges,6
Oranges,7
Oranges,8
Oranges,9
Reds,3
Reds,4
Reds,5
Reds,6
Reds,7
Reds,8
Reds,9
Greys,3
Greys,4
Greys,5
Greys,6
Greys,7
Greys,8
Greys,9
PuOr,3
PuOr,4
PuOr,5
PuOr,6
PuOr,7
PuOr,8
PuOr,9
PuOr,10
PuOr,11
BrBG,3
BrBG,4
BrBG,5
BrBG,6
BrBG,7
BrBG,8
BrBG,9
BrBG,10
BrBG,11
PRGn,3
PRGn,4
PRGn,5
PRGn,6
PRGn,7
PRGn,8
PRGn,9
PRGn,10
PRGn,11
PiYG,3
PiYG,4
PiYG,5
PiYG,6
PiYG,7
PiYG,8
PiYG,9
PiYG,10
PiYG,11
RdBu,3
RdBu,4
RdBu,5
RdBu,6
RdBu,7
RdBu,8
RdBu,9
RdBu,10
RdBu,11
RdGy,3
RdGy,4
RdGy,5
RdGy,6
RdGy,7
RdGy,8
RdGy,9
RdGy,10
RdGy,11
RdYlBu,3
RdYlBu,4
RdYlBu,5
RdYlBu,6
RdYlBu,7
RdYlBu,8
RdYlBu,9
RdYlBu,10
RdYlBu,11
Spectral,3
Spectral,4
Spectral,5
Spectral,6
Spectral,7
Spectral,8
Spectral,9
Spectral,10
Spectral,11
RdYlGn,3
RdYlGn,4
RdYlGn,5
RdYlGn,6
RdYlGn,7
RdYlGn,8
RdYlGn,9
RdYlGn,10
RdYlGn,11
